,Chỉ số GDP qua các năm,Chỉ số giá sản xuất công nghiệp  (Năm trước = 100) chia theo Nhóm hàng và Năm,Chỉ số giá sản xuất dịch vụ (Năm trước = 100) chia theo Chỉ số giá sản xuất dịch vụ và Năm,"Chỉ số giá sản xuất nông, lâm nghiệp và thuỷ sản  (Năm trước = 100) chia theo Ngành và Năm",Chỉ số giá tiêu dùng các tháng trong năm chia theo Các tháng (tháng trước = 100) và Năm,"Diện tích, dân số và mật độ dân số phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",ực lượng lao động từ 15 tuổi trở lên phân theo địa phương() chia theo Địa phương và Năm,Tổng sản phẩm trong nước theo giá hiện hành  - Tỷ đồng,Tích luỹ tài sản theo giá hiện hành - Tỷ đồng,Tiêu dùng cuối cùng theo giá hiện hành - Tỷ đồng,Xuất khẩu hàng hoá và dịch vụ theo giá hiện hành - Tỷ đồng,Nhập khẩu hàng hoá và dịch vụ theo giá hiện hành - Tỷ đồng,"Nông, lâm nghiệp và thuỷ sản",Công nghiệp và xây dựng,Dịch vụ,Thuế sản phẩm trừ trợ cấp sản phẩm,Tổng thiệt hại,Tổng số vốn thực hiện (Triệu đô la Mỹ)
2012,195.6,103.43,103.53,97.87,109.21,88809.3,52616.6,4073762.29,1244912.82,2694746.28,2585776.82,2434080.78,16.2,35.86,39.12,8.82,16000.0,10046.6
2013,213.7,105.25,103.05,100.57,106.6,89759.5,53549.3,4473655.6,1351621.25,3033143.59,2988421.89,2865193.39,15.22,35.58,40.54,8.67,27853.0,11500.0
2014,233.5,103.26,102.98,104.62,104.09,90728.9,54040.7,4937031.68,1495378.85,3324329.03,3436103.74,3249156.6,14.88,35.3,40.92,8.9,2828.0,12500.0
2015,239.3,99.42,101.28,99.72,100.63,91713.3,54266.0,5191323.73,1666877.77,3633279.88,3785661.31,3737305.4,14.47,34.27,42.19,9.07,8114.0,14500.0
2016,257.1,99.39,102.38,101.71,102.66,92695.1,54482.8,5639401.0,1789073.97,3898821.37,4179207.04,4021018.2,13.82,34.12,42.85,9.21,39726.0,15800.0
2017,281.4,102.82,103.63,99.92,103.53,93671.6,54819.6,6293904.55,2033264.8,4288217.21,5146055.08,4985877.73,12.93,35.39,42.58,9.1,60000.0,17500.0
2018,310.1,103.09,103.0,101.98,103.54,94666.0,55388.0,7009042.13,2244260.45,4683636.75,5917275.6,5624089.1,12.31,36.54,42.17,8.98,20000.0,19100.0
2019,334.4,101.25,103.06,101.31,102.79,96484.0,55767.4,7707200.29,2464759.62,5118113.29,6563265.82,6130817.91,11.78,36.8,42.47,8.94,6863.0,20380.0
2020,334.6,99.4,99.27,108.79,103.23,97582.69,54842.94,8044385.73,2567421.08,5264719.7,6787981.23,6344145.66,12.66,36.74,41.83,8.77,39962.0,19980.0
2021,336.1,102.91,100.95,102.12,101.84,98506.19,50560.5,8479666.5,2837931.42,5515650.5,7907491.92,7901059.55,12.56,37.48,41.21,8.75,5200.0,19740.0
2022,413.81,104.24,103.73,103.89,103.15,99461.71,51704.88,9513327.03,3178082.29,6081072.37,8941230.62,8727870.44,11.88,38.26,41.33,8.53,19500.0,22396.0
